setCount,objectCount,sensitivity,useClustering,useType,useId,runtime,confidence
100,3,0.03125,1,1,0,0.99,0.99
100,3,0.03125,1,0,1,1.99,0.99
100,3,0.03125,1,1,1,0.99,0.99
100,3,0.0625,1,0,0,2.97,0.99
100,3,0.0625,1,1,0,0.99,0.99
100,3,0.0625,1,0,1,1.98,0.99
100,3,0.0625,1,1,1,0.99,0.99
100,3,0.125,1,0,0,2.99,0.99
100,3,0.125,1,1,0,0.99,0.99
100,3,0.125,1,0,1,1.98,0.99
100,3,0.125,1,1,1,0.99,0.99
100,3,0.25,1,0,0,6.93,0.99
100,3,0.25,1,1,0,0.99,0.99
100,3,0.25,1,0,1,9.9,0.99
100,3,0.25,1,1,1,0.99,0.99
100,3,0.5,1,0,0,6.93,0.99
100,3,0.5,1,1,0,0.99,0.99
100,3,0.5,1,0,1,9.91,0.99
100,3,0.5,1,1,1,0.99,0.99
100,3,1,1,0,0,6.93,0.99
100,3,1,1,1,0,0.99,0.99
100,3,1,1,0,1,9.9,0.99
100,3,1,1,1,1,0.99,0.99
100,2,0.015625,1,0,0,0,0.99
100,2,0.015625,1,1,0,0,0.99
100,2,0.015625,1,0,1,0,0.99
100,2,0.015625,1,1,1,0,0.99
100,2,0.03125,1,0,0,0.01,0.99
100,2,0.03125,1,1,0,0,0.99
100,2,0.03125,1,0,1,0,0.99
100,2,0.03125,1,1,1,0,0.99
100,2,0.0625,1,0,0,0,0.99
100,2,0.0625,1,1,0,0,0.99
100,2,0.0625,1,0,1,0,0.99
100,2,0.0625,1,1,1,0,0.99
100,2,0.125,1,0,0,0,0.99
100,2,0.125,1,1,0,0,0.99
100,2,0.125,1,0,1,0,0.99
100,2,0.125,1,1,1,0,0.99
100,2,0.25,1,0,0,0,0.99
100,2,0.25,1,1,0,0,0.99
100,2,0.25,1,0,1,0,0.99
